Time,Amount,Class
41505.0,364.19,1
44261.0,520.12,0
35484.0,31.0,0
167123.0,1.5,0
168473.0,0.89,0
67878.0,100.0,0
159763.0,16.99,0
139631.0,8.95,0
133944.0,10.0,0
58769.0,101.49,0
81055.0,43.5,0
149357.0,21.61,0
157885.0,156.0,0
66315.0,42.0,0
111116.0,1.0,0
153290.0,8.54,0
52913.0,0.89,0
162837.0,26.47,0
34118.0,76.0,0
55575.0,22.7,0
136177.0,45.85,0
158143.0,1.0,0
171766.0,7.32,0
146635.0,24.0,0
39394.0,281.94,0
144267.0,109.0,0
63920.0,87.0,0
18489.0,21.99,0
49848.0,21.95,0
80768.0,93.95,0
42272.0,37.73,0
95462.0,1.79,0
141655.0,3502.11,0
43985.0,101.19,0
73196.0,40.0,0
135851.0,9.99,0
154924.0,113.94,0
130672.0,35.98,0
162535.0,29.95,0
145406.0,82.0,0
159236.0,7.53,0
90538.0,10.0,0
52840.0,69.0,0
144172.0,247.24,0
31944.0,1170.0,0
69334.0,444.81,0
73303.0,10.83,0
123587.0,9.99,0
71421.0,11.5,0
36721.0,12.31,0
147600.0,1.98,0
56803.0,1.0,0
127361.0,375.42,0
90602.0,1.0,0
80283.0,1.79,0
62459.0,17.1,0
82815.0,228.28,0
114534.0,1.82,0
27255.0,0.0,0
94330.0,12.74,0
58084.0,34.99,0
38671.0,150.92,0
35181.0,0.89,0
147172.0,186.9,0
34897.0,8.0,0
150447.0,377.6,0
150609.0,8.99,0
43994.0,53.5,0
25208.0,7.3,0
58476.0,228.61,0
137877.0,123.5,0
123191.0,9.95,0
58929.0,0.89,0
69183.0,1.29,0
68038.0,21.01,0
149281.0,197.16,0
45102.0,26.88,0
64496.0,5.55,0
145532.0,5.9,0
141036.0,167.96,0
167274.0,0.89,0
54263.0,0.76,0
148090.0,11.5,0
10765.0,8.0,0
38238.0,380.0,0
33184.0,15.56,0
42145.0,17.33,0
58734.0,25.17,0
139063.0,118.0,0
137744.0,1.0,0
63641.0,0.89,0
137041.0,101.0,0
126570.0,29.0,0
161783.0,107.21,0
127961.0,36.72,0
19914.0,5.0,0
155683.0,7.2,0
114924.0,40.0,0
142403.0,10.0,0
88120.0,8.98,0
12012.0,24.5,0
147493.0,0.76,0
62568.0,4.37,0
1657.0,2.31,0
170786.0,270.3,0
145811.0,16.0,0
42715.0,15.0,0
114663.0,3.99,0
38503.0,48.2,0
140488.0,104.1,0
153525.0,0.76,0
57046.0,69.95,0
152569.0,514.93,0
120733.0,5.99,0
161513.0,117.0,0
75910.0,132.1,0
32367.0,77.75,0
125266.0,15.99,0
51462.0,119.71,0
35059.0,53.8,0
138712.0,65.41,0
155373.0,4.99,0
87941.0,0.99,0
60926.0,100.0,0
117045.0,28.75,0
77563.0,0.76,0
22111.0,17.4,0
31775.0,10.0,0
77968.0,1.0,0
79328.0,11.5,0
133222.0,9.03,0
124788.0,98.91,0
50234.0,17.21,0
54354.0,129.98,0
125301.0,0.89,0
27841.0,15.0,0
83118.0,2.0,0
145037.0,39.77,0
56887.0,15.0,0
156091.0,69.99,0
135112.0,1.0,0
119481.0,15.17,0
126513.0,120.0,0
49885.0,1.0,0
123664.0,6.02,0
10992.0,24.35,0
128107.0,267.0,0
149013.0,0.76,0
34968.0,200.74,0
64425.0,2.69,0
155746.0,28.54,0
160341.0,316.0,0
140941.0,54.0,0
140078.0,154.0,0
124654.0,129.9,0
125948.0,15.48,0
133280.0,14.12,0
83864.0,8.9,0
78930.0,3.57,0
56147.0,15.43,0
38182.0,90.52,0
58519.0,409.7,0
